㗴	zin4
㗵	fat1
㗶	put3
㗷	coi3
㗻	go6
㗼	zip6
㗽	hoeng1
㗾	heoi1
㗿	laa4
㘀	zok3
㘁	zik6
㘂	ci4
㘅	haam4
㘆	toi4
㘇	wing4
㘈	zi4
㘉	zit1
㘊	caau3
㘋	zin4
㘌	kek6
㘍	zik1
㘎	ham3
㘐	cit3
㘑	lai6
㘓	laan4
㘔	coi3
㘕	ham3
㘖	ngan4
㘘	lyun2
㘙	gau1
㘚	gam1
㘛	haam1
㘜	caau1
㘝	nim2
㘞	deot1
㘠	baai3
㘡	haap6
㘣	zyun4
㘤	waan1
㘥	zaau4
㘦	kan4
㘧	zeoi6
㘨	nip6
㘩	bei6
㘪	hou3
㘫	zing6
㘬	au1
㘭	au1
㘰	zam1
㘱	taan1
㘲	guk1
㘳	zaau1
㘴	zo6
㘵	bou3
㘶	git6
㘷	ngai6
㘸	zong3
㘹	ci4
㘺	fat6
㘻	zaan1
㘾	jyu5
㘿	nip6
㙀	lau6
㙁	muk6
㙂	deoi3
㙃	bong1
㙄	bai6
㙅	bou2
㙇	cuk1
㙈	laa4
㙉	din6
㙊	coeng4
㙍	do1
㙎	wai1
㙏	fuk1
㙐	deoi2
㙑	zyu5
㙒	ze5
㙔	hon4
㙕	faai3
㙗	fai3
㙘	ziu1
㙙	lung5
㙚	sing1
㙛	bou2
㙜	ci4
㙝	hip3
㙞	nip6
㙟	long5
㙠	aai3
㙡	zung1
㙢	man6
㙣	zoeng3
㙤	laa3
㙥	gwaan2
㙨	gei1
㙩	laau6
㙪	zi3
㙫	zap6
㙬	ngaan4
㙮	taap3
㙯	ngaai6
㙰	hai6
㙱	hou6
㙲	zung1
㙳	ham2
㙴	cim1
㙵	toi4
㙶	tong4
㙷	zik6
㙸	buk6
㙹	mung4
㙺	gwaai6
㙻	cin4
㙼	leoi5
㙾	hok6
㚀	hei1
㚁	kiu4
㚂	zoeng4
㚃	wan1
㚅	lung4
㚆	fuk6
㚇	zuk1
㚉	gu2
㚊	hoi1
㚋	diu1
㚌	fo2
㚍	fai3
㚏	gou2
㚐	tou3
㚒	sim2
㚓	loi4
㚔	nip6
㚕	faat1
㚖	gou2
㚗	ce4
㚘	bun6
㚙	gaa1
㚜	wik6
㚝	fui1
㚠	hiu1
㚢	nou4
㚣	gaau2
㚤	zik6
㚥	zyu1
㚦	gei1
㚧	ngam4
㚩	zim5
㚪	hou3
㚫	saap3
㚬	gwan1
㚭	zaau4
㚮	daam1
㚯	cam4
㚰	pui1
㚱	zaau1
㚲	sim1
㚳	o1
㚴	bou3
㚵	dung1
㚶	ci5
㚷	nai5
㚸	si1
㚹	mau5
㚺	zaan6
㚻	gei1
㚼	naau2
㚽	haau2
㚿	pau4
㛁	ping1
㛃	git3
㛄	zi1
㛅	nei6
㛆	do2
㛇	zong1
㛈	haau2
㛊	do2
㛍	hap6
㛎	leoi5
㛏	kau4
㛐	sou2
㛑	caan3
㛒	daau2
㛓	ci1
㛔	fung1
㛕	zaap1
㛖	so1
㛗	so1
㛘	but6
㛙	san1
㛚	tung2
㛛	saan1
㛜	zaau4
㛝	bui3
㛞	lung6
㛡	wan6
㛢	sau3
㛥	dap6
㛦	lam5
㛧	mun5
㛨	goeng2
㛩	zuk6
㛪	aam1
㛫	sek3
㛬	luk6
㛭	sik1
㛮	sou2
㛯	min5
㛰	fan1
㛱	wui2
㛲	faat3
㛳	zaai6
㛴	nou5
㛵	cing1
㛶	taan3
㛷	gai1
㛸	syu6
㛹	pin4
㛺	aam1
㛻	kwaai2
㛼	cap3
㛽	saan1
㛾	haam4
㛿	zaai6
㜁	caa4
㜂	fung1
㜃	lyun2
㜄	caam4
㜅	cuk1
㜆	maai4
㜇	waai6
㜈	muk6
㜉	zung1
㜊	nan5
㜋	zi4
㜌	gaau3
㜍	tong4
㜎	haai4
㜏	wan4
㜐	syu6
㜑	pak3
㜒	ngaai6
㜓	daap3
㜕	lin4
㜖	cou4
㜗	cam2
㜘	geoi6
㜙	luk6
㜚	suk1
㜛	zyun5
㜜	ngou6
㜝	an2
㜞	cam4
㜠	ceoi1
㜡	sung1
㜢	leoi5
㜣	zin4
㜤	saam2
㜥	maai4
㜦	cam4
㜧	kyut3
㜩	ou3
㜪	saan1
㜫	mei5
㜬	daam1
㜭	dong1
㜮	laam6
㜯	hei1
㜰	zoek6
㜱	zat1
㜲	zing4
㜳	gwaai1
㜴	mung6
㜵	niu5
㜶	man5
㜷	laau4
㜸	zip6
㜹	keoi4
㜺	zaan2
㜻	lyun2
㜼	dip6
㜽	daai2
㜾	haai4
㜿	zeoi6
㝀	hou3
㝁	king4
㝂	caam4
㝃	hei1
㝄	seon4
㝅	gaau3
㝇	seon4
㝈	lyun4
㝉	ning4
㝊	sau2
㝋	liu5
㝌	gau3
㝍	se2
㝎	ding6
㝏	gaai3
㝐	zung2
㝑	pong4
㝒	geoi1
㝓	gaap3
㝔	ziu3
㝕	fai3
㝖	zi4
㝗	gong1
㝘	zung4
㝙	zaan4
㝛	suk1
㝜	sik1
㝝	lam4
㝞	aa1
㝟	mou6
㝠	ming4
㝡	zeoi3
㝢	zyu5
㝤	gau3
㝥	maai5
㝦	zeon3
㝧	wan2
㝩	hoi1
㝪	dim3
㝫	lung4
㝭	sing2
㝯	kiu4
㝰	maan5
㝱	mung6
㝲	cam2
㝴	zyun4
㝵	daak1
㝶	dak1
㝸	beng2
㝺	lim4
㝻	gan2
㝼	zyu1
㝽	cai1
㝾	zo2
㝿	bo2
㞀	fui1
㞁	ziu6
㞂	teoi2
㞃	gik6
㞄	aam1
㞅	gwo2
㞆	gei1
㞇	waai2
㞈	bui6
㞉	zaat3
㞊	seot1
㞋	nin2
㞌	lai1
㞎	baa2
㞏	zaat6
㞐	geoi1
㞑	mei5
㞒	aai3
㞓	hai1
㞔	ji4
㞕	ngaat6
㞖	ci1
㞗	gau1
㞘	duk1
㞙	niu6
㞚	kaai3
㞛	gei2
㞜	teoi1
㞟	din6
㞠	liu4
㞡	zin2
㞢	zi1
㞣	fan1
㞤	saam4
㞥	cip3
㞦	gei2
㞧	wui6
㞨	zi1
㞩	laam4
㞪	mau6
㞫	zaau2
㞭	daai6
㞯	zit3
㞰	heoi2
㞱	cung1
㞲	zung6
㞳	dau2
㞴	ci4
㞵	tou1
㞶	man4
㞷	wong4
㞸	seoi3
㞹	ho2
㞺	zuk6
㞻	hou6
㞼	nip6
㞽	hyut3
㞾	nei4
㞿	kei4
㟀	lin4
㟁	ngang6
㟂	mou5
㟃	si1
㟄	coeng4
㟅	ou2
㟆	waa4
㟇	co4
㟈	kau4
㟉	lou4
㟊	fu1
㟋	deoi3
㟌	mong4
㟍	long4
㟎	to5
㟏	ham4
㟐	mong5
㟑	but6
㟒	kwan1
㟓	kei4
㟔	ham4
㟖	lung6
㟗	ban1
㟘	tiu4
㟙	zaak6
㟚	kei4
㟛	zan2
㟜	nei4
㟝	pui4
㟞	zan2
㟟	hong2
㟠	gong1
㟢	kei4
㟤	luk6
㟥	caam1
㟦	wan6
㟧	hon6
㟨	cyun4
